Date,JPM,BAC,WFC,C
2016-03-14,44.77587890625,10.878907203674316,37.288368225097656,31.438167572021484
2016-03-15,44.836490631103516,10.823073387145996,37.36312484741211,31.379215240478516
2016-03-16,44.62441635131836,10.615706443786621,37.034202575683594,31.113985061645508
2016-03-17,44.495670318603516,10.687485694885254,37.176231384277344,31.570772171020508
2016-03-18,45.805931091308594,10.998542785644531,37.78174591064453,32.07915496826172
2016-03-21,45.790767669677734,11.038422584533691,37.878936767578125,32.123348236083984
2016-03-22,45.624141693115234,10.974615097045898,37.6546630859375,31.96128273010254
2016-03-23,45.396942138671875,10.862956047058105,37.19865036010742,31.217126846313477
2016-03-24,45.04854965209961,10.910808563232422,36.555763244628906,30.900320053100586
2016-03-28,44.98796081542969,10.862956047058105,36.40623092651367,30.885570526123047
2016-03-29,44.70771789550781,10.70344066619873,35.920318603515625,30.738237380981445
2016-03-30,45.22274398803711,10.751294136047363,36.368865966796875,30.85610580444336
2016-03-31,44.85163497924805,10.783197402954102,36.15207290649414,30.76031494140625
2016-04-01,45.34392166137695,10.815099716186523,36.2193489074707,31.290800094604492
2016-04-04,45.16843795776367,10.77522087097168,36.25672912597656,30.988737106323242
2016-04-05,44.527530670166016,10.519998550415039,35.51664733886719,30.583515167236328
2016-04-06,44.87087631225586,10.583805084228516,35.942745208740234,30.84137725830078
