Date,rf
2017-04-21,3.016285272378602e-05
2017-04-24,3.0438516329136004e-05
2017-04-25,3.193465023166521e-05
2017-04-26,3.173782081809695e-05
2017-04-27,3.102916393789421e-05
2017-04-28,3.083228960505038e-05
2017-05-01,3.102916393789421e-05
2017-05-02,3.3312166413712965e-05
2017-05-03,3.350891541019498e-05
2017-05-04,3.3784349025089646e-05
2017-05-05,3.4295813861007934e-05
2017-05-08,3.4374496531448824e-05
2017-05-09,3.516122337463228e-05
2017-05-10,3.457119286516469e-05
2017-05-11,3.3981074612378056e-05
2017-05-12,3.3784349025089646e-05
2017-05-15,3.4099103876637896e-05
2017-05-16,3.516122337463228e-05
2017-05-17,3.457119286516469e-05
2017-05-18,3.527921988735506e-05
2017-05-19,3.5082558646490565e-05
2017-05-22,3.468920692355968e-05
2017-05-23,3.606576740267896e-05
2017-05-24,3.575116616686965e-05
2017-05-25,3.586914513913663e-05
2017-05-26,3.594779662000567e-05
2017-05-30,3.594779662000567e-05
2017-05-31,3.752047084391935e-05
2017-06-01,3.7441852870910196e-05
2017-06-02,3.76383972260245e-05
2017-06-05,3.7441852870910196e-05
2017-06-06,3.783493184694069e-05
2017-06-07,3.842447731414137e-05
2017-06-08,3.842447731414137e-05
2017-06-09,3.869956996651617e-05
2017-06-12,3.842447731414137e-05
2017-06-13,3.8817458972290286e-05
2017-06-14,3.8817458972290286e-05
2017-06-15,3.921040171677776e-05
2017-06-16,3.8896052039349916e-05
2017-06-19,3.8896052039349916e-05
2017-06-20,3.921040171677776e-05
2017-06-21,3.822797189003518e-05
2017-06-22,3.685216139073479e-05
2017-06-23,3.685216139073479e-05
2017-06-26,3.685216139073479e-05
2017-06-27,3.90925243841537e-05
2017-06-28,3.8896052039349916e-05
2017-06-29,3.96033078970853e-05
2017-06-30,3.921040171677776e-05
2017-07-03,3.948543989352414e-05
2017-07-05,4.0271154218278326e-05
2017-07-06,3.9799745228909395e-05
2017-07-07,3.9799745228909395e-05
2017-07-10,3.9996172837133245e-05
2017-07-11,4.078178605327573e-05
2017-07-12,4.0388998886630406e-05
2017-07-13,3.9996172837133245e-05
2017-07-14,3.9799745228909395e-05
2017-07-17,4.0271154218278326e-05
2017-07-18,4.105671300238502e-05
2017-07-19,4.282365656973749e-05
2017-07-20,4.3922689205349344e-05
2017-07-21,4.490371036300137e-05
2017-07-24,4.537451345220304e-05
2017-07-25,4.5099885494837024e-05
2017-07-26,4.3216202834032455e-05
2017-07-27,4.254884733420163e-05
2017-07-28,4.156724376879527e-05
2017-07-31,4.156724376879527e-05
2017-08-01,4.1763583907916044e-05
2017-08-02,4.1449434085937526e-05
2017-08-03,4.1763583907916044e-05
2017-08-04,4.156724376879527e-05
2017-08-07,4.078178605327573e-05
2017-08-08,4.0663953049063645e-05
2017-08-09,4.0467558493835005e-05
2017-08-10,4.0192590722719435e-05
2017-08-11,3.9996172837133245e-05
2017-08-14,3.96033078970853e-05
2017-08-15,3.9799745228909395e-05
2017-08-16,3.8896052039349916e-05
2017-08-17,3.862097300790521e-05
2017-08-18,3.9013935208260037e-05
2017-08-21,3.8110063027543416e-05
2017-08-22,3.9288987001890734e-05
2017-08-23,3.869956996651617e-05
2017-08-24,3.9406860840698226e-05
